,count,rank,num,metric
0,47,0.3072,153,0.016578362433588595
1,62,0.3851,161,0.019295616097054796
2,63,0.3818,165,0.03296381596960442
3,64,0.3699,173,0.026246568870408604
4,73,0.3967,184,0.02073236797749255
5,79,0.4136,191,0.024094105212494017
6,85,0.4126,206,0.037091527438271946
7,90,0.4167,216,0.015496041394766605
8,94,0.4159,226,0.022833891299962404
9,111,0.4764,233,0.02475858745014294
10,103,0.412,250,0.025547067645971745
11,113,0.4264,265,0.03587471944935805
12,128,0.446,287,0.037429362175876786
13,118,0.3794,311,0.018996815075490104
14,141,0.4222,334,0.02909457655815757
15,145,0.4108,353,0.029096947575823654
16,148,0.3957,374,0.039134015510759075
17,154,0.3919,393,0.023079934729697722
18,165,0.3995,413,0.020434497655404994
19,178,0.3947,451,0.0280049918430595
20,182,0.3784,481,0.0323399531510428
21,207,0.3988,519,0.026283022727398585
22,213,0.3783,563,0.03190257111596347
23,240,0.3954,607,0.027578542223061817
24,247,0.3737,661,0.025208749135176376
25,252,0.349,722,0.029168603766912986
26,312,0.392,796,0.028286014733000985
27,332,0.382,869,0.028410668537162703
28,345,0.369,935,0.028872118734185354
29,365,0.3582,1019,0.027578826681886843
30,395,0.3477,1136,0.030053335055081867
31,458,0.367,1248,0.02791559619318528
32,492,0.3602,1366,0.027358509567927743
33,544,0.361,1507,0.03435402506973424
34,594,0.3453,1720,0.027239590384306542
35,670,0.3477,1927,0.030000050327341102
36,740,0.3381,2189,0.025731919039324574
37,803,0.3149,2550,0.02636819029723617
38,956,0.3198,2989,0.026539730517645937
39,1095,0.3086,3548,0.03053928752351188
40,1228,0.2895,4242,0.023191192285588174
41,1451,0.2832,5123,0.028100591492182372
42,1686,0.2598,6489,0.025988378465146976
43,2050,0.247,8300,0.02295285545100849
44,2539,0.2312,10980,0.0232984537762393
45,3297,0.2169,15202,0.022379562330991136
46,4482,0.2004,22365,0.020757344648331365
47,4543,0.2031,22363,0.019802362957468657
48,3624,0.162,22365,0.016991809110390055
49,2874,0.1285,22363,0.012315018722520813
