,count,rank,num,metric
0,18,0.0662,272,0.0010627383320510582
1,20,0.0733,273,0.00841610410343635
2,19,0.0683,278,0.006123444906547735
3,30,0.106,283,0.01276153248449223
4,17,0.0588,289,0.006182988737651955
5,25,0.085,294,0.006727374110872436
6,19,0.0644,295,0.0029198410716840205
7,28,0.0933,300,0.005725201010849361
8,22,0.0717,307,0.00997747723836737
9,25,0.0781,320,0.009308141708622635
10,24,0.0736,326,0.011481779123750195
11,30,0.0893,336,0.008644748119168275
12,30,0.0875,343,0.014368880973205777
13,34,0.0974,349,0.007868600099882871
14,27,0.0763,354,0.01201505060232395
15,49,0.1357,361,0.009380393782039729
16,38,0.1027,370,0.010172767555851678
17,33,0.0875,377,0.002468638085075313
18,34,0.0876,388,0.009142194408564699
19,36,0.0907,397,0.006917016471328756
20,44,0.1086,405,0.014243769525912664
21,42,0.1014,414,0.00920027023102921
22,54,0.1286,420,0.012757585190211005
23,44,0.1028,428,0.006168646543124346
24,42,0.0966,435,0.0022988505747126436
25,31,0.0698,444,0.008142175192671304
26,45,0.0989,455,0.003287288890426595
27,37,0.0786,471,0.005382603526915095
28,37,0.0761,486,0.005111514469083542
29,55,0.1109,496,0.004936409513869743
30,54,0.1055,512,0.013561806468955651
31,50,0.0952,525,0.009468358507576166
32,49,0.0894,548,0.0072912966229972545
33,56,0.0979,572,0.007183597098921359
34,66,0.1115,592,0.01322314329968739
35,52,0.0844,616,0.008914392723577745
36,80,0.1264,633,0.014230377804927054
37,64,0.0983,651,0.009749226487775466
38,68,0.1001,679,0.01222763450996758
39,71,0.1,710,0.011859314037705975
40,80,0.1067,750,0.01248037462037799
41,100,0.1267,789,0.009792514208356003
42,80,0.0966,828,0.009670761788631712
43,92,0.1041,884,0.012605173955742425
44,102,0.1093,933,0.01109786601930557
45,140,0.1385,1011,0.015351566927530829
46,129,0.1181,1092,0.01602789147636725
47,270,0.2477,1090,0.018900355700673048
48,123,0.1128,1090,0.01463240671511876
49,112,0.1028,1090,0.016136570288369817
